object_number,object,condition,sentence_type,image_type,picture,sentence,,,,,,,,,,,,,,,,,,,,,
1,watermelon,modified-whole,modified,whole,watermelon_whole.jpeg,Someone slices a watermelon in front of you.,,,,,,,,,,,,,,,,,,,,,
2,apple,modified-whole,modified,whole,apple_whole.jpeg,Someone slices an apple in front of you.,,,,,,,,,,,,,,,,,,,,,
3,cake,modified-whole,modified,whole,cake_whole.jpeg,Someone slices a cake in front of you.,,,,,,,,,,,,,,,,,,,,,
4,pie ,modified-whole,modified,whole,pie _whole.jpeg,Someone slices a pie in front of you.,,,,,,,,,,,,,,,,,,,,,
5,bread,modified-whole,modified,whole,bread_whole.jpeg,Someone slices bread in front of you.,,,,,,,,,,,,,,,,,,,,,
6,pineapple,modified-whole,modified,whole,pineapple_whole.jpeg,Someone slices a pineapple in front of you.,,,,,,,,,,,,,,,,,,,,,
7,peach,neutral-slice,neutral,slice,peach_slice.jpeg,Someone places a peach in front of you.,,,,,,,,,,,,,,,,,,,,,
8,steak,neutral-slice,neutral,slice,steak_slice.jpeg,Someone places a steak in front of you.,,,,,,,,,,,,,,,,,,,,,
9,cheesecake,neutral-slice,neutral,slice,cheesecake_slice.jpeg,Someone places a cheesecake in front of you.,,,,,,,,,,,,,,,,,,,,,
10,lemon,neutral-slice,neutral,slice,lemon_slice.jpeg,Someone places a lemon in front of you.,,,,,,,,,,,,,,,,,,,,,
11,tomato,neutral-slice,neutral,slice,tomato_slice.jpeg,Someone places a tomato in front of you.,,,,,,,,,,,,,,,,,,,,,
12,orange,neutral-slice,neutral,slice,orange_slice.jpeg,Someone places an orange in front of you.,,,,,,,,,,,,,,,,,,,,,
13,pizza,neutral-whole,neutral,whole,pizza_whole.jpeg,Someone places a pizza in front of you.,,,,,,,,,,,,,,,,,,,,,
14,melon,neutral-whole,neutral,whole,melon_whole.jpeg,Someone places a melon in front of you.,,,,,,,,,,,,,,,,,,,,,
15,cucumber,neutral-whole,neutral,whole,cucumber_whole.jpeg,Someone places a cucumber in front of you.,,,,,,,,,,,,,,,,,,,,,
16,carrot,neutral-whole,neutral,whole,carrot_whole.jpeg,Someone places a carrot in front of you.,,,,,,,,,,,,,,,,,,,,,
17,onion,neutral-whole,neutral,whole,onion_whole.jpeg,Someone places an onion in front of you.,,,,,,,,,,,,,,,,,,,,,
18,mushrooms,neutral-whole,neutral,whole,mushrooms_whole.jpeg,Someone places mushrooms in front of you.,,,,,,,,,,,,,,,,,,,,,
19,radish,modified-slice,modified,slice,radish_slice.jpeg,Someone slices a radish in front of you.,,,,,,,,,,,,,,,,,,,,,
20,pear,modified-slice,modified,slice,pear_slice.jpeg,Someone slices a pear in front of you.,,,,,,,,,,,,,,,,,,,,,
21,pepper,modified-slice,modified,slice,pepper_slice.jpeg,Someone slices a pepper in front of you.,,,,,,,,,,,,,,,,,,,,,
22,mango,modified-slice,modified,slice,mango_slice.jpeg,Someone slices a mango in front of you.,,,,,,,,,,,,,,,,,,,,,
23,strawberry,modified-slice,modified,slice,strawberry_slice.jpeg,Someone slices a strawberry in front of you.,,,,,,,,,,,,,,,,,,,,,
24,grapefruit,modified-slice,modified,slice,grapefruit_slice.jpeg,Someone slices a grapefruit in front of you.,,,,,,,,,,,,,,,,,,,,,
